season,round,constructor_id,constructor_name,constructor_standing_position,constructor_standing_points,constructor_standing_wins
2021,2,mercedes,Mercedes,1,60,1
2021,2,red_bull,Red Bull,2,53,1
2021,2,mclaren,McLaren,3,41,0
2021,2,ferrari,Ferrari,4,34,0
2021,2,alphatauri,AlphaTauri,5,8,0
2021,2,aston_martin,Aston Martin,6,5,0
2021,2,alpine,Alpine F1 Team,7,3,0
2021,2,alfa,Alfa Romeo,8,0,0
2021,2,williams,Williams,9,0,0
2021,2,haas,Haas F1 Team,10,0,0
2021,5,red_bull,Red Bull,1,149,2
2021,5,mercedes,Mercedes,2,148,3
2021,5,mclaren,McLaren,3,80,0
2021,5,ferrari,Ferrari,4,78,0
2021,5,aston_martin,Aston Martin,5,19,0
2021,5,alphatauri,AlphaTauri,6,18,0
2021,5,alpine,Alpine F1 Team,7,17,0
2021,5,alfa,Alfa Romeo,8,1,0
2021,5,williams,Williams,9,0,0
2021,5,haas,Haas F1 Team,10,0,0
2021,8,red_bull,Red Bull,1,252,5
2021,8,mercedes,Mercedes,2,212,3
2021,8,mclaren,McLaren,3,120,0
2021,8,ferrari,Ferrari,4,108,0
2021,8,alphatauri,AlphaTauri,5,46,0
2021,8,aston_martin,Aston Martin,6,44,0
2021,8,alpine,Alpine F1 Team,7,31,0
2021,8,alfa,Alfa Romeo,8,2,0
2021,8,williams,Williams,9,0,0
2021,8,haas,Haas F1 Team,10,0,0
2021,12,mercedes,Mercedes,1,310.5,4
2021,12,red_bull,Red Bull,2,303.5,7
2021,12,mclaren,McLaren,3,169,0
2021,12,ferrari,Ferrari,4,165.5,0
2021,12,alpine,Alpine F1 Team,5,80,1
2021,12,alphatauri,AlphaTauri,6,72,0
2021,12,aston_martin,Aston Martin,7,53,0
2021,12,williams,Williams,8,20,0
2021,12,alfa,Alfa Romeo,9,3,0
2021,12,haas,Haas F1 Team,10,0,0
2021,16,mercedes,Mercedes,1,433.5,6
2021,16,red_bull,Red Bull,2,397.5,8
2021,16,mclaren,McLaren,3,240,1
2021,16,ferrari,Ferrari,4,232.5,0
2021,16,alpine,Alpine F1 Team,5,104,1
2021,16,alphatauri,AlphaTauri,6,92,0
2021,16,aston_martin,Aston Martin,7,61,0
2021,16,williams,Williams,8,23,0
2021,16,alfa,Alfa Romeo,9,7,0
2021,16,haas,Haas F1 Team,10,0,0
2021,20,mercedes,Mercedes,1,546.5,8
2021,20,red_bull,Red Bull,2,541.5,10
2021,20,ferrari,Ferrari,3,297.5,0
2021,20,mclaren,McLaren,4,258,1
2021,20,alpine,Alpine F1 Team,5,137,1
2021,20,alphatauri,AlphaTauri,6,112,0
2021,20,aston_martin,Aston Martin,7,77,0
2021,20,williams,Williams,8,23,0
2021,20,alfa,Alfa Romeo,9,11,0
2021,20,haas,Haas F1 Team,10,0,0
2022,2,ferrari,Ferrari,1,78,1
2022,2,mercedes,Mercedes,2,38,0
2022,2,red_bull,Red Bull,3,37,1
2022,2,alpine,Alpine F1 Team,4,16,0
2022,2,haas,Haas F1 Team,5,12,0
2022,2,alfa,Alfa Romeo,6,9,0
2022,2,alphatauri,AlphaTauri,7,8,0
2022,2,mclaren,McLaren,8,6,0
2022,2,aston_martin,Aston Martin,9,0,0
2022,2,williams,Williams,10,0,0
2022,5,ferrari,Ferrari,1,157,2
2022,5,red_bull,Red Bull,2,151,3
2022,5,mercedes,Mercedes,3,95,0
2022,5,mclaren,McLaren,4,46,0
2022,5,alfa,Alfa Romeo,5,31,0
2022,5,alpine,Alpine F1 Team,6,26,0
