season,round,race_name,circuit_id,circuit_name,race_date,driver_id,driver_code,given_name,family_name,constructor_id,constructor_name,grid,position,points,status
2016,4,Russian Grand Prix,sochi,Sochi Autodrom,2016-05-01,sainz,SAI,Carlos,Sainz,toro_rosso,Toro Rosso,11,12,0,+1 Lap
2016,4,Russian Grand Prix,sochi,Sochi Autodrom,2016-05-01,jolyon_palmer,PAL,Jolyon,Palmer,renault,Renault,18,13,0,+1 Lap
2016,4,Russian Grand Prix,sochi,Sochi Autodrom,2016-05-01,ericsson,ERI,Marcus,Ericsson,sauber,Sauber,22,14,0,+1 Lap
2016,4,Russian Grand Prix,sochi,Sochi Autodrom,2016-05-01,kvyat,KVY,Daniil,Kvyat,red_bull,Red Bull,8,15,0,+1 Lap
2016,4,Russian Grand Prix,sochi,Sochi Autodrom,2016-05-01,nasr,NAS,Felipe,Nasr,sauber,Sauber,19,16,0,+1 Lap
2016,4,Russian Grand Prix,sochi,Sochi Autodrom,2016-05-01,gutierrez,GUT,Esteban,Gutiérrez,haas,Haas F1 Team,16,17,0,+1 Lap
2016,4,Russian Grand Prix,sochi,Sochi Autodrom,2016-05-01,wehrlein,WEH,Pascal,Wehrlein,manor,Manor Marussia,20,18,0,+2 Laps
2016,4,Russian Grand Prix,sochi,Sochi Autodrom,2016-05-01,max_verstappen,VER,Max,Verstappen,toro_rosso,Toro Rosso,9,19,0,Power Unit
2016,4,Russian Grand Prix,sochi,Sochi Autodrom,2016-05-01,vettel,VET,Sebastian,Vettel,ferrari,Ferrari,7,20,0,Collision
2016,4,Russian Grand Prix,sochi,Sochi Autodrom,2016-05-01,hulkenberg,HUL,Nico,Hülkenberg,force_india,Force India,13,21,0,Collision
2016,4,Russian Grand Prix,sochi,Sochi Autodrom,2016-05-01,haryanto,HAR,Rio,Haryanto,manor,Manor Marussia,21,22,0,Collision
2016,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,2016-05-15,max_verstappen,VER,Max,Verstappen,red_bull,Red Bull,4,1,25,Finished
2016,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,2016-05-15,raikkonen,RAI,Kimi,Räikkönen,ferrari,Ferrari,5,2,18,Finished
2016,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,2016-05-15,vettel,VET,Sebastian,Vettel,ferrari,Ferrari,6,3,15,Finished
2016,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,2016-05-15,ricciardo,RIC,Daniel,Ricciardo,red_bull,Red Bull,3,4,12,Finished
2016,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,2016-05-15,bottas,BOT,Valtteri,Bottas,williams,Williams,7,5,10,Finished
2016,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,2016-05-15,sainz,SAI,Carlos,Sainz,toro_rosso,Toro Rosso,8,6,8,Finished
2016,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,2016-05-15,perez,PER,Sergio,Pérez,force_india,Force India,9,7,6,Finished
2016,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,2016-05-15,massa,MAS,Felipe,Massa,williams,Williams,18,8,4,Finished
2016,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,2016-05-15,button,BUT,Jenson,Button,mclaren,McLaren,12,9,2,+1 Lap
2016,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,2016-05-15,kvyat,KVY,Daniil,Kvyat,toro_rosso,Toro Rosso,13,10,1,+1 Lap
2016,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,2016-05-15,gutierrez,GUT,Esteban,Gutiérrez,haas,Haas F1 Team,16,11,0,+1 Lap
2016,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,2016-05-15,ericsson,ERI,Marcus,Ericsson,sauber,Sauber,19,12,0,+1 Lap
2016,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,2016-05-15,jolyon_palmer,PAL,Jolyon,Palmer,renault,Renault,17,13,0,+1 Lap
2016,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,2016-05-15,kevin_magnussen,MAG,Kevin,Magnussen,renault,Renault,15,14,0,+1 Lap
2016,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,2016-05-15,nasr,NAS,Felipe,Nasr,sauber,Sauber,20,15,0,+1 Lap
2016,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,2016-05-15,wehrlein,WEH,Pascal,Wehrlein,manor,Manor Marussia,21,16,0,+1 Lap
2016,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,2016-05-15,haryanto,HAR,Rio,Haryanto,manor,Manor Marussia,22,17,0,+1 Lap
2016,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,2016-05-15,grosjean,GRO,Romain,Grosjean,haas,Haas F1 Team,14,18,0,Engine
2016,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,2016-05-15,alonso,ALO,Fernando,Alonso,mclaren,McLaren,10,19,0,Engine
2016,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,2016-05-15,hulkenberg,HUL,Nico,Hülkenberg,force_india,Force India,11,20,0,Engine
2016,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,2016-05-15,hamilton,HAM,Lewis,Hamilton,mercedes,Mercedes,1,21,0,Collision
2016,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,2016-05-15,rosberg,ROS,Nico,Rosberg,mercedes,Mercedes,2,22,0,Collision
2016,6,Monaco Grand Prix,monaco,Circuit de Monaco,2016-05-29,hamilton,HAM,Lewis,Hamilton,mercedes,Mercedes,3,1,25,Finished
2016,6,Monaco Grand Prix,monaco,Circuit de Monaco,2016-05-29,ricciardo,RIC,Daniel,Ricciardo,red_bull,Red Bull,1,2,18,Finished
2016,6,Monaco Grand Prix,monaco,Circuit de Monaco,2016-05-29,perez,PER,Sergio,Pérez,force_india,Force India,7,3,15,Finished
2016,6,Monaco Grand Prix,monaco,Circuit de Monaco,2016-05-29,vettel,VET,Sebastian,Vettel,ferrari,Ferrari,4,4,12,Finished
2016,6,Monaco Grand Prix,monaco,Circuit de Monaco,2016-05-29,alonso,ALO,Fernando,Alonso,mclaren,McLaren,9,5,10,Finished
2016,6,Monaco Grand Prix,monaco,Circuit de Monaco,2016-05-29,hulkenberg,HUL,Nico,Hülkenberg,force_india,Force India,5,6,8,Finished
2016,6,Monaco Grand Prix,monaco,Circuit de Monaco,2016-05-29,rosberg,ROS,Nico,Rosberg,mercedes,Mercedes,2,7,6,Finished
2016,6,Monaco Grand Prix,monaco,Circuit de Monaco,2016-05-29,sainz,SAI,Carlos,Sainz,toro_rosso,Toro Rosso,6,8,4,+1 Lap
2016,6,Monaco Grand Prix,monaco,Circuit de Monaco,2016-05-29,button,BUT,Jenson,Button,mclaren,McLaren,13,9,2,+1 Lap
2016,6,Monaco Grand Prix,monaco,Circuit de Monaco,2016-05-29,massa,MAS,Felipe,Massa,williams,Williams,14,10,1,+1 Lap
2016,6,Monaco Grand Prix,monaco,Circuit de Monaco,2016-05-29,gutierrez,GUT,Esteban,Gutiérrez,haas,Haas F1 Team,12,11,0,+1 Lap
2016,6,Monaco Grand Prix,monaco,Circuit de Monaco,2016-05-29,bottas,BOT,Valtteri,Bottas,williams,Williams,10,12,0,+1 Lap
2016,6,Monaco Grand Prix,monaco,Circuit de Monaco,2016-05-29,grosjean,GRO,Romain,Grosjean,haas,Haas F1 Team,15,13,0,+2 Laps
2016,6,Monaco Grand Prix,monaco,Circuit de Monaco,2016-05-29,wehrlein,WEH,Pascal,Wehrlein,manor,Manor Marussia,20,14,0,+2 Laps
2016,6,Monaco Grand Prix,monaco,Circuit de Monaco,2016-05-29,haryanto,HAR,Rio,Haryanto,manor,Manor Marussia,19,15,0,+4 Laps
2016,6,Monaco Grand Prix,monaco,Circuit de Monaco,2016-05-29,ericsson,ERI,Marcus,Ericsson,sauber,Sauber,17,16,0,Collision
2016,6,Monaco Grand Prix,monaco,Circuit de Monaco,2016-05-29,nasr,NAS,Felipe,Nasr,sauber,Sauber,0,17,0,Retired
2016,6,Monaco Grand Prix,monaco,Circuit de Monaco,2016-05-29,max_verstappen,VER,Max,Verstappen,red_bull,Red Bull,0,18,0,Accident
2016,6,Monaco Grand Prix,monaco,Circuit de Monaco,2016-05-29,kevin_magnussen,MAG,Kevin,Magnussen,renault,Renault,16,19,0,Retired
2016,6,Monaco Grand Prix,monaco,Circuit de Monaco,2016-05-29,kvyat,KVY,Daniil,Kvyat,toro_rosso,Toro Rosso,8,20,0,Accident
2016,6,Monaco Grand Prix,monaco,Circuit de Monaco,2016-05-29,raikkonen,RAI,Kimi,Räikkönen,ferrari,Ferrari,11,21,0,Accident
2016,6,Monaco Grand Prix,monaco,Circuit de Monaco,2016-05-29,jolyon_palmer,PAL,Jolyon,Palmer,renault,Renault,18,22,0,Accident
2016,7,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,2016-06-12,hamilton,HAM,Lewis,Hamilton,mercedes,Mercedes,1,1,25,Finished
2016,7,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,2016-06-12,vettel,VET,Sebastian,Vettel,ferrari,Ferrari,3,2,18,Finished
2016,7,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,2016-06-12,bottas,BOT,Valtteri,Bottas,williams,Williams,7,3,15,Finished
2016,7,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,2016-06-12,max_verstappen,VER,Max,Verstappen,red_bull,Red Bull,5,4,12,Finished
2016,7,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,2016-06-12,rosberg,ROS,Nico,Rosberg,mercedes,Mercedes,2,5,10,Finished
2016,7,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,2016-06-12,raikkonen,RAI,Kimi,Räikkönen,ferrari,Ferrari,6,6,8,Finished
2016,7,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,2016-06-12,ricciardo,RIC,Daniel,Ricciardo,red_bull,Red Bull,4,7,6,Finished
2016,7,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,2016-06-12,hulkenberg,HUL,Nico,Hülkenberg,force_india,Force India,9,8,4,+1 Lap
2016,7,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,2016-06-12,sainz,SAI,Carlos,Sainz,toro_rosso,Toro Rosso,20,9,2,+1 Lap
2016,7,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,2016-06-12,perez,PER,Sergio,Pérez,force_india,Force India,11,10,1,+1 Lap
2016,7,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,2016-06-12,alonso,ALO,Fernando,Alonso,mclaren,McLaren,10,11,0,+1 Lap
2016,7,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,2016-06-12,kvyat,KVY,Daniil,Kvyat,toro_rosso,Toro Rosso,15,12,0,+1 Lap
2016,7,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,2016-06-12,gutierrez,GUT,Esteban,Gutiérrez,haas,Haas F1 Team,13,13,0,+2 Laps
2016,7,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,2016-06-12,grosjean,GRO,Romain,Grosjean,haas,Haas F1 Team,14,14,0,+2 Laps
2016,7,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,2016-06-12,ericsson,ERI,Marcus,Ericsson,sauber,Sauber,21,15,0,+2 Laps
2016,7,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,2016-06-12,kevin_magnussen,MAG,Kevin,Magnussen,renault,Renault,22,16,0,+2 Laps
2016,7,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,2016-06-12,wehrlein,WEH,Pascal,Wehrlein,manor,Manor Marussia,17,17,0,+2 Laps
2016,7,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,2016-06-12,nasr,NAS,Felipe,Nasr,sauber,Sauber,18,18,0,+2 Laps
2016,7,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,2016-06-12,haryanto,HAR,Rio,Haryanto,manor,Manor Marussia,19,19,0,+2 Laps
2016,7,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,2016-06-12,massa,MAS,Felipe,Massa,williams,Williams,8,20,0,Retired
2016,7,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,2016-06-12,jolyon_palmer,PAL,Jolyon,Palmer,renault,Renault,16,21,0,Retired
2016,7,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,2016-06-12,button,BUT,Jenson,Button,mclaren,McLaren,12,22,0,Power Unit
2016,8,European Grand Prix,baku,Baku City Circuit,2016-06-19,rosberg,ROS,Nico,Rosberg,mercedes,Mercedes,1,1,25,Finished
2016,8,European Grand Prix,baku,Baku City Circuit,2016-06-19,vettel,VET,Sebastian,Vettel,ferrari,Ferrari,3,2,18,Finished
2016,8,European Grand Prix,baku,Baku City Circuit,2016-06-19,perez,PER,Sergio,Pérez,force_india,Force India,7,3,15,Finished
2016,8,European Grand Prix,baku,Baku City Circuit,2016-06-19,raikkonen,RAI,Kimi,Räikkönen,ferrari,Ferrari,4,4,12,Finished
2016,8,European Grand Prix,baku,Baku City Circuit,2016-06-19,hamilton,HAM,Lewis,Hamilton,mercedes,Mercedes,10,5,10,Finished
2016,8,European Grand Prix,baku,Baku City Circuit,2016-06-19,bottas,BOT,Valtteri,Bottas,williams,Williams,8,6,8,Finished
2016,8,European Grand Prix,baku,Baku City Circuit,2016-06-19,ricciardo,RIC,Daniel,Ricciardo,red_bull,Red Bull,2,7,6,Finished
2016,8,European Grand Prix,baku,Baku City Circuit,2016-06-19,max_verstappen,VER,Max,Verstappen,red_bull,Red Bull,9,8,4,Finished
2016,8,European Grand Prix,baku,Baku City Circuit,2016-06-19,hulkenberg,HUL,Nico,Hülkenberg,force_india,Force India,12,9,2,Finished
2016,8,European Grand Prix,baku,Baku City Circuit,2016-06-19,massa,MAS,Felipe,Massa,williams,Williams,5,10,1,Finished
2016,8,European Grand Prix,baku,Baku City Circuit,2016-06-19,button,BUT,Jenson,Button,mclaren,McLaren,19,11,0,Finished
2016,8,European Grand Prix,baku,Baku City Circuit,2016-06-19,nasr,NAS,Felipe,Nasr,sauber,Sauber,15,12,0,+1 Lap
2016,8,European Grand Prix,baku,Baku City Circuit,2016-06-19,grosjean,GRO,Romain,Grosjean,haas,Haas F1 Team,11,13,0,+1 Lap
2016,8,European Grand Prix,baku,Baku City Circuit,2016-06-19,kevin_magnussen,MAG,Kevin,Magnussen,renault,Renault,22,14,0,+1 Lap
2016,8,European Grand Prix,baku,Baku City Circuit,2016-06-19,jolyon_palmer,PAL,Jolyon,Palmer,renault,Renault,21,15,0,+1 Lap
2016,8,European Grand Prix,baku,Baku City Circuit,2016-06-19,gutierrez,GUT,Esteban,Gutiérrez,haas,Haas F1 Team,14,16,0,+1 Lap
2016,8,European Grand Prix,baku,Baku City Circuit,2016-06-19,ericsson,ERI,Marcus,Ericsson,sauber,Sauber,20,17,0,+1 Lap
