season,round,race_name,circuit_id,circuit_name,race_date,driver_id,driver_code,given_name,family_name,constructor_id,constructor_name,grid,position,points,status
2016,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,2016-03-20,rosberg,ROS,Nico,Rosberg,mercedes,Mercedes,2,1,25,Finished
2016,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,2016-03-20,hamilton,HAM,Lewis,Hamilton,mercedes,Mercedes,1,2,18,Finished
2016,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,2016-03-20,vettel,VET,Sebastian,Vettel,ferrari,Ferrari,3,3,15,Finished
2016,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,2016-03-20,ricciardo,RIC,Daniel,Ricciardo,red_bull,Red Bull,8,4,12,Finished
2016,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,2016-03-20,massa,MAS,Felipe,Massa,williams,Williams,6,5,10,Finished
2016,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,2016-03-20,grosjean,GRO,Romain,Grosjean,haas,Haas F1 Team,19,6,8,Finished
2016,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,2016-03-20,hulkenberg,HUL,Nico,Hülkenberg,force_india,Force India,10,7,6,Finished
2016,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,2016-03-20,bottas,BOT,Valtteri,Bottas,williams,Williams,16,8,4,Finished
2016,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,2016-03-20,sainz,SAI,Carlos,Sainz,toro_rosso,Toro Rosso,7,9,2,Finished
2016,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,2016-03-20,max_verstappen,VER,Max,Verstappen,toro_rosso,Toro Rosso,5,10,1,Finished
2016,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,2016-03-20,jolyon_palmer,PAL,Jolyon,Palmer,renault,Renault,13,11,0,Finished
2016,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,2016-03-20,kevin_magnussen,MAG,Kevin,Magnussen,renault,Renault,14,12,0,Finished
2016,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,2016-03-20,perez,PER,Sergio,Pérez,force_india,Force India,9,13,0,Finished
2016,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,2016-03-20,button,BUT,Jenson,Button,mclaren,McLaren,12,14,0,+1 Lap
2016,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,2016-03-20,nasr,NAS,Felipe,Nasr,sauber,Sauber,17,15,0,+1 Lap
2016,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,2016-03-20,wehrlein,WEH,Pascal,Wehrlein,manor,Manor Marussia,21,16,0,+1 Lap
2016,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,2016-03-20,ericsson,ERI,Marcus,Ericsson,sauber,Sauber,15,17,0,Engine
2016,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,2016-03-20,raikkonen,RAI,Kimi,Räikkönen,ferrari,Ferrari,4,18,0,Engine
2016,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,2016-03-20,haryanto,HAR,Rio,Haryanto,manor,Manor Marussia,22,19,0,Mechanical
2016,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,2016-03-20,gutierrez,GUT,Esteban,Gutiérrez,haas,Haas F1 Team,20,20,0,Collision
2016,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,2016-03-20,alonso,ALO,Fernando,Alonso,mclaren,McLaren,11,21,0,Collision
2016,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,2016-03-20,kvyat,KVY,Daniil,Kvyat,red_bull,Red Bull,18,22,0,Retired
2016,2,Bahrain Grand Prix,bahrain,Bahrain International Circuit,2016-04-03,rosberg,ROS,Nico,Rosberg,mercedes,Mercedes,2,1,25,Finished
2016,2,Bahrain Grand Prix,bahrain,Bahrain International Circuit,2016-04-03,raikkonen,RAI,Kimi,Räikkönen,ferrari,Ferrari,4,2,18,Finished
2016,2,Bahrain Grand Prix,bahrain,Bahrain International Circuit,2016-04-03,hamilton,HAM,Lewis,Hamilton,mercedes,Mercedes,1,3,15,Finished
2016,2,Bahrain Grand Prix,bahrain,Bahrain International Circuit,2016-04-03,ricciardo,RIC,Daniel,Ricciardo,red_bull,Red Bull,5,4,12,Finished
2016,2,Bahrain Grand Prix,bahrain,Bahrain International Circuit,2016-04-03,grosjean,GRO,Romain,Grosjean,haas,Haas F1 Team,9,5,10,Finished
2016,2,Bahrain Grand Prix,bahrain,Bahrain International Circuit,2016-04-03,max_verstappen,VER,Max,Verstappen,toro_rosso,Toro Rosso,10,6,8,Finished
2016,2,Bahrain Grand Prix,bahrain,Bahrain International Circuit,2016-04-03,kvyat,KVY,Daniil,Kvyat,red_bull,Red Bull,15,7,6,+1 Lap
2016,2,Bahrain Grand Prix,bahrain,Bahrain International Circuit,2016-04-03,massa,MAS,Felipe,Massa,williams,Williams,7,8,4,+1 Lap
2016,2,Bahrain Grand Prix,bahrain,Bahrain International Circuit,2016-04-03,bottas,BOT,Valtteri,Bottas,williams,Williams,6,9,2,+1 Lap
2016,2,Bahrain Grand Prix,bahrain,Bahrain International Circuit,2016-04-03,vandoorne,VAN,Stoffel,Vandoorne,mclaren,McLaren,12,10,1,+1 Lap
2016,2,Bahrain Grand Prix,bahrain,Bahrain International Circuit,2016-04-03,kevin_magnussen,MAG,Kevin,Magnussen,renault,Renault,22,11,0,+1 Lap
2016,2,Bahrain Grand Prix,bahrain,Bahrain International Circuit,2016-04-03,ericsson,ERI,Marcus,Ericsson,sauber,Sauber,17,12,0,+1 Lap
2016,2,Bahrain Grand Prix,bahrain,Bahrain International Circuit,2016-04-03,wehrlein,WEH,Pascal,Wehrlein,manor,Manor Marussia,16,13,0,+1 Lap
2016,2,Bahrain Grand Prix,bahrain,Bahrain International Circuit,2016-04-03,nasr,NAS,Felipe,Nasr,sauber,Sauber,21,14,0,+1 Lap
2016,2,Bahrain Grand Prix,bahrain,Bahrain International Circuit,2016-04-03,hulkenberg,HUL,Nico,Hülkenberg,force_india,Force India,8,15,0,+1 Lap
2016,2,Bahrain Grand Prix,bahrain,Bahrain International Circuit,2016-04-03,perez,PER,Sergio,Pérez,force_india,Force India,18,16,0,+1 Lap
2016,2,Bahrain Grand Prix,bahrain,Bahrain International Circuit,2016-04-03,haryanto,HAR,Rio,Haryanto,manor,Manor Marussia,20,17,0,+1 Lap
2016,2,Bahrain Grand Prix,bahrain,Bahrain International Circuit,2016-04-03,sainz,SAI,Carlos,Sainz,toro_rosso,Toro Rosso,11,18,0,Retired
2016,2,Bahrain Grand Prix,bahrain,Bahrain International Circuit,2016-04-03,gutierrez,GUT,Esteban,Gutiérrez,haas,Haas F1 Team,13,19,0,Retired
2016,2,Bahrain Grand Prix,bahrain,Bahrain International Circuit,2016-04-03,button,BUT,Jenson,Button,mclaren,McLaren,14,20,0,Power Unit
2016,2,Bahrain Grand Prix,bahrain,Bahrain International Circuit,2016-04-03,vettel,VET,Sebastian,Vettel,ferrari,Ferrari,3,21,0,Engine
2016,2,Bahrain Grand Prix,bahrain,Bahrain International Circuit,2016-04-03,jolyon_palmer,PAL,Jolyon,Palmer,renault,Renault,19,22,0,Hydraulics
2016,3,Chinese Grand Prix,shanghai,Shanghai International Circuit,2016-04-17,rosberg,ROS,Nico,Rosberg,mercedes,Mercedes,1,1,25,Finished
2016,3,Chinese Grand Prix,shanghai,Shanghai International Circuit,2016-04-17,vettel,VET,Sebastian,Vettel,ferrari,Ferrari,4,2,18,Finished
2016,3,Chinese Grand Prix,shanghai,Shanghai International Circuit,2016-04-17,kvyat,KVY,Daniil,Kvyat,red_bull,Red Bull,6,3,15,Finished
2016,3,Chinese Grand Prix,shanghai,Shanghai International Circuit,2016-04-17,ricciardo,RIC,Daniel,Ricciardo,red_bull,Red Bull,2,4,12,Finished
2016,3,Chinese Grand Prix,shanghai,Shanghai International Circuit,2016-04-17,raikkonen,RAI,Kimi,Räikkönen,ferrari,Ferrari,3,5,10,Finished
2016,3,Chinese Grand Prix,shanghai,Shanghai International Circuit,2016-04-17,massa,MAS,Felipe,Massa,williams,Williams,10,6,8,Finished
2016,3,Chinese Grand Prix,shanghai,Shanghai International Circuit,2016-04-17,hamilton,HAM,Lewis,Hamilton,mercedes,Mercedes,22,7,6,Finished
2016,3,Chinese Grand Prix,shanghai,Shanghai International Circuit,2016-04-17,max_verstappen,VER,Max,Verstappen,toro_rosso,Toro Rosso,9,8,4,Finished
2016,3,Chinese Grand Prix,shanghai,Shanghai International Circuit,2016-04-17,sainz,SAI,Carlos,Sainz,toro_rosso,Toro Rosso,8,9,2,Finished
2016,3,Chinese Grand Prix,shanghai,Shanghai International Circuit,2016-04-17,bottas,BOT,Valtteri,Bottas,williams,Williams,5,10,1,Finished
2016,3,Chinese Grand Prix,shanghai,Shanghai International Circuit,2016-04-17,perez,PER,Sergio,Pérez,force_india,Force India,7,11,0,Finished
2016,3,Chinese Grand Prix,shanghai,Shanghai International Circuit,2016-04-17,alonso,ALO,Fernando,Alonso,mclaren,McLaren,11,12,0,Finished
2016,3,Chinese Grand Prix,shanghai,Shanghai International Circuit,2016-04-17,button,BUT,Jenson,Button,mclaren,McLaren,12,13,0,Finished
2016,3,Chinese Grand Prix,shanghai,Shanghai International Circuit,2016-04-17,gutierrez,GUT,Esteban,Gutiérrez,haas,Haas F1 Team,18,14,0,+1 Lap
2016,3,Chinese Grand Prix,shanghai,Shanghai International Circuit,2016-04-17,hulkenberg,HUL,Nico,Hülkenberg,force_india,Force India,13,15,0,+1 Lap
2016,3,Chinese Grand Prix,shanghai,Shanghai International Circuit,2016-04-17,ericsson,ERI,Marcus,Ericsson,sauber,Sauber,15,16,0,+1 Lap
2016,3,Chinese Grand Prix,shanghai,Shanghai International Circuit,2016-04-17,kevin_magnussen,MAG,Kevin,Magnussen,renault,Renault,17,17,0,+1 Lap
2016,3,Chinese Grand Prix,shanghai,Shanghai International Circuit,2016-04-17,wehrlein,WEH,Pascal,Wehrlein,manor,Manor Marussia,21,18,0,+1 Lap
2016,3,Chinese Grand Prix,shanghai,Shanghai International Circuit,2016-04-17,grosjean,GRO,Romain,Grosjean,haas,Haas F1 Team,14,19,0,+1 Lap
2016,3,Chinese Grand Prix,shanghai,Shanghai International Circuit,2016-04-17,nasr,NAS,Felipe,Nasr,sauber,Sauber,16,20,0,+1 Lap
2016,3,Chinese Grand Prix,shanghai,Shanghai International Circuit,2016-04-17,haryanto,HAR,Rio,Haryanto,manor,Manor Marussia,20,21,0,+1 Lap
2016,3,Chinese Grand Prix,shanghai,Shanghai International Circuit,2016-04-17,jolyon_palmer,PAL,Jolyon,Palmer,renault,Renault,19,22,0,+1 Lap
2016,4,Russian Grand Prix,sochi,Sochi Autodrom,2016-05-01,rosberg,ROS,Nico,Rosberg,mercedes,Mercedes,1,1,25,Finished
2016,4,Russian Grand Prix,sochi,Sochi Autodrom,2016-05-01,hamilton,HAM,Lewis,Hamilton,mercedes,Mercedes,10,2,18,Finished
2016,4,Russian Grand Prix,sochi,Sochi Autodrom,2016-05-01,raikkonen,RAI,Kimi,Räikkönen,ferrari,Ferrari,3,3,15,Finished
2016,4,Russian Grand Prix,sochi,Sochi Autodrom,2016-05-01,bottas,BOT,Valtteri,Bottas,williams,Williams,2,4,12,Finished
2016,4,Russian Grand Prix,sochi,Sochi Autodrom,2016-05-01,massa,MAS,Felipe,Massa,williams,Williams,4,5,10,Finished
2016,4,Russian Grand Prix,sochi,Sochi Autodrom,2016-05-01,alonso,ALO,Fernando,Alonso,mclaren,McLaren,14,6,8,+1 Lap
2016,4,Russian Grand Prix,sochi,Sochi Autodrom,2016-05-01,kevin_magnussen,MAG,Kevin,Magnussen,renault,Renault,17,7,6,+1 Lap
2016,4,Russian Grand Prix,sochi,Sochi Autodrom,2016-05-01,grosjean,GRO,Romain,Grosjean,haas,Haas F1 Team,15,8,4,+1 Lap
2016,4,Russian Grand Prix,sochi,Sochi Autodrom,2016-05-01,perez,PER,Sergio,Pérez,force_india,Force India,6,9,2,+1 Lap
2016,4,Russian Grand Prix,sochi,Sochi Autodrom,2016-05-01,button,BUT,Jenson,Button,mclaren,McLaren,12,10,1,+1 Lap
2016,4,Russian Grand Prix,sochi,Sochi Autodrom,2016-05-01,ricciardo,RIC,Daniel,Ricciardo,red_bull,Red Bull,5,11,0,+1 Lap
