season,round,driver_id,qualifying_position,q1,q2,q3
2019,1,hamilton,1,1:22.043,1:21.014,1:20.486
2019,1,bottas,2,1:22.367,1:21.193,1:20.598
2019,1,vettel,3,1:22.885,1:21.912,1:21.190
2019,1,max_verstappen,4,1:22.876,1:21.678,1:21.320
2019,1,leclerc,5,1:22.017,1:21.739,1:21.442
2019,1,grosjean,6,1:22.959,1:21.870,1:21.826
2019,1,kevin_magnussen,7,1:22.519,1:22.221,1:22.099
2019,1,norris,8,1:22.702,1:22.423,1:22.304
2019,1,raikkonen,9,1:22.966,1:22.349,1:22.314
2019,1,perez,10,1:22.908,1:22.532,1:22.781
2019,1,hulkenberg,11,1:22.540,1:22.562,
2019,1,ricciardo,12,1:22.921,1:22.570,
2019,1,albon,13,1:22.757,1:22.636,
2019,1,giovinazzi,14,1:22.431,1:22.714,
2019,1,kvyat,15,1:22.511,1:22.774,
2019,1,stroll,16,1:23.017,,
2019,1,gasly,17,1:23.020,,
2019,1,sainz,18,1:23.084,,
2019,1,russell,19,1:24.360,,
2019,1,kubica,20,1:26.067,,
2019,2,leclerc,1,1:28.495,1:28.046,1:27.866
2019,2,vettel,2,1:28.733,1:28.356,1:28.160
2019,2,hamilton,3,1:29.262,1:28.578,1:28.190
2019,2,bottas,4,1:29.498,1:28.830,1:28.256
2019,2,max_verstappen,5,1:29.579,1:29.109,1:28.752
2019,2,kevin_magnussen,6,1:29.532,1:29.017,1:28.757
2019,2,sainz,7,1:29.528,1:29.055,1:28.813
2019,2,grosjean,8,1:29.688,1:29.249,1:29.015
2019,2,raikkonen,9,1:29.959,1:29.471,1:29.022
2019,2,norris,10,1:29.381,1:29.258,1:29.043
2019,2,ricciardo,11,1:29.859,1:29.488,
2019,2,albon,12,1:29.514,1:29.513,
2019,2,gasly,13,1:29.900,1:29.526,
2019,2,perez,14,1:29.893,1:29.756,
2019,2,kvyat,15,1:29.876,1:29.854,
2019,2,giovinazzi,16,1:30.026,,
2019,2,hulkenberg,17,1:30.034,,
2019,2,stroll,18,1:30.217,,
2019,2,russell,19,1:31.759,,
2019,2,kubica,20,1:31.799,,
2019,3,bottas,1,1:32.658,1:31.728,1:31.547
2019,3,hamilton,2,1:33.115,1:31.637,1:31.570
2019,3,vettel,3,1:33.557,1:32.232,1:31.848
2019,3,leclerc,4,1:32.712,1:32.324,1:31.865
2019,3,max_verstappen,5,1:33.274,1:32.369,1:32.089
