season,round,driver_id,qualifying_position,q1,q2,q3
2016,1,hamilton,1,1:25.351,1:24.605,1:23.837
2016,1,rosberg,2,1:26.934,1:24.796,1:24.197
2016,1,vettel,3,1:26.945,1:25.257,1:24.675
2016,1,raikkonen,4,1:26.579,1:25.615,1:25.033
2016,1,max_verstappen,5,1:26.934,1:25.615,1:25.434
2016,1,massa,6,1:25.918,1:25.644,1:25.458
2016,1,sainz,7,1:27.057,1:25.384,1:25.582
2016,1,ricciardo,8,1:26.945,1:25.599,1:25.589
2016,1,perez,9,1:26.607,1:25.753,
2016,1,hulkenberg,10,1:26.550,1:25.865,
2016,1,bottas,11,1:27.135,1:25.961,
2016,1,alonso,12,1:26.537,1:26.125,
2016,1,button,13,1:26.740,1:26.304,
2016,1,jolyon_palmer,14,1:27.241,1:27.601,
2016,1,kevin_magnussen,15,1:27.297,1:27.742,
2016,1,ericsson,16,1:27.435,,
2016,1,nasr,17,1:27.958,,
2016,1,kvyat,18,1:28.006,,
2016,1,grosjean,19,1:28.322,,
2016,1,gutierrez,20,1:29.606,,
2016,1,haryanto,21,1:29.627,,
2016,1,wehrlein,22,1:29.642,,
2016,2,hamilton,1,1:31.391,1:30.039,1:29.493
2016,2,rosberg,2,1:31.325,1:30.535,1:29.570
2016,2,vettel,3,1:31.636,1:30.409,1:30.012
2016,2,raikkonen,4,1:31.685,1:30.559,1:30.244
2016,2,ricciardo,5,1:31.403,1:31.122,1:30.854
2016,2,bottas,6,1:31.672,1:30.931,1:31.153
2016,2,massa,7,1:32.045,1:31.374,1:31.155
2016,2,hulkenberg,8,1:31.987,1:31.604,1:31.620
2016,2,grosjean,9,1:32.005,1:31.756,
2016,2,max_verstappen,10,1:31.888,1:31.772,
2016,2,sainz,11,1:31.716,1:31.816,
2016,2,vandoorne,12,1:32.472,1:31.934,
2016,2,gutierrez,13,1:32.118,1:31.945,
2016,2,button,14,1:31.976,1:31.998,
2016,2,kvyat,15,1:32.559,1:32.241,
2016,2,wehrlein,16,1:32.806,,
2016,2,ericsson,17,1:32.840,,
2016,2,perez,18,1:32.911,,
2016,2,kevin_magnussen,19,1:33.181,,
2016,2,jolyon_palmer,20,1:33.438,,
2016,2,haryanto,21,1:34.190,,
2016,2,nasr,22,1:34.388,,
2016,3,rosberg,1,1:37.669,1:36.240,1:35.402
2016,3,ricciardo,2,1:37.672,1:36.815,1:35.917
2016,3,raikkonen,3,1:37.347,1:36.118,1:35.972
2016,3,vettel,4,1:37.001,1:36.183,1:36.246
2016,3,bottas,5,1:37.537,1:36.831,1:36.296
2016,3,kvyat,6,1:37.719,1:36.948,1:36.399
2016,3,perez,7,1:38.096,1:37.149,1:36.865
2016,3,sainz,8,1:37.656,1:37.204,1:36.881
2016,3,max_verstappen,9,1:38.181,1:37.265,1:37.194
2016,3,hulkenberg,10,1:38.165,1:37.333,
2016,3,massa,11,1:38.016,1:37.347,
2016,3,alonso,12,1:38.451,1:38.826,
