season,round,driver_id,qualifying_position,q1,q2,q3
2022,1,leclerc,1,1:31.471,1:30.932,1:30.558
2022,1,max_verstappen,2,1:31.785,1:30.757,1:30.681
2022,1,sainz,3,1:31.567,1:30.787,1:30.687
2022,1,perez,4,1:32.311,1:31.008,1:30.921
2022,1,hamilton,5,1:32.285,1:31.048,1:31.238
2022,1,bottas,6,1:31.919,1:31.717,1:31.560
2022,1,kevin_magnussen,7,1:31.955,1:31.461,1:31.808
2022,1,alonso,8,1:32.346,1:31.621,1:32.195
2022,1,russell,9,1:32.269,1:31.252,1:32.216
2022,1,gasly,10,1:32.096,1:31.635,1:32.338
2022,1,ocon,11,1:32.041,1:31.782,
2022,1,mick_schumacher,12,1:32.380,1:31.998,
2022,1,norris,13,1:32.239,1:32.008,
2022,1,albon,14,1:32.726,1:32.664,
2022,1,zhou,15,1:32.493,1:33.543,
2022,1,tsunoda,16,1:32.750,,
2022,1,hulkenberg,17,1:32.777,,
2022,1,ricciardo,18,1:32.945,,
2022,1,stroll,19,1:33.032,,
2022,1,latifi,20,1:33.634,,
2022,2,perez,1,1:29.705,1:28.924,1:28.200
2022,2,leclerc,2,1:29.039,1:28.780,1:28.225
2022,2,sainz,3,1:28.855,1:28.686,1:28.402
2022,2,max_verstappen,4,1:28.928,1:28.945,1:28.461
2022,2,ocon,5,1:30.093,1:29.584,1:29.068
2022,2,russell,6,1:29.680,1:29.618,1:29.104
2022,2,alonso,7,1:29.978,1:29.295,1:29.147
2022,2,bottas,8,1:29.683,1:29.404,1:29.183
2022,2,gasly,9,1:29.891,1:29.418,1:29.254
2022,2,kevin_magnussen,10,1:29.831,1:29.546,1:29.588
2022,2,norris,11,1:29.957,1:29.651,
2022,2,ricciardo,12,1:30.009,1:29.773,
2022,2,zhou,13,1:29.978,1:29.819,
2022,2,mick_schumacher,14,1:30.167,1:29.920,
2022,2,stroll,15,1:30.256,1:31.009,
2022,2,hamilton,16,1:30.343,,
2022,2,albon,17,1:30.492,,
2022,2,hulkenberg,18,1:30.543,,
2022,2,latifi,19,1:31.817,,
2022,2,tsunoda,20,,,
2022,3,leclerc,1,1:18.881,1:18.606,1:17.868
2022,3,max_verstappen,2,1:18.580,1:18.611,1:18.154
2022,3,perez,3,1:18.834,1:18.340,1:18.240
2022,3,norris,4,1:19.280,1:19.066,1:18.703
2022,3,hamilton,5,1:19.401,1:19.106,1:18.825
2022,3,russell,6,1:19.405,1:19.076,1:18.933
2022,3,ricciardo,7,1:19.665,1:19.130,1:19.032
2022,3,ocon,8,1:19.605,1:19.136,1:19.061
2022,3,sainz,9,1:18.983,1:18.469,1:19.408
2022,3,alonso,10,1:19.192,1:18.815,
2022,3,gasly,11,1:19.580,1:19.226,
2022,3,bottas,12,1:19.251,1:19.410,
2022,3,tsunoda,13,1:19.742,1:19.424,
2022,3,zhou,14,1:19.910,1:20.155,
2022,3,mick_schumacher,15,1:20.104,1:20.465,
2022,3,albon,16,1:20.135,,
2022,3,kevin_magnussen,17,1:20.254,,
2022,3,vettel,18,1:21.149,,
2022,3,latifi,19,1:21.372,,
2022,3,stroll,20,,,
2022,4,max_verstappen,1,1:19.295,1:18.793,1:27.999
2022,4,leclerc,2,1:18.796,1:19.584,1:28.778
2022,4,norris,3,1:20.168,1:19.294,1:29.131
2022,4,kevin_magnussen,4,1:20.147,1:19.902,1:29.164
2022,4,alonso,5,1:20.198,1:19.595,1:29.202
2022,4,ricciardo,6,1:19.980,1:20.031,1:29.742
2022,4,perez,7,1:19.773,1:19.296,1:29.808
2022,4,bottas,8,1:20.419,1:20.192,1:30.439
2022,4,vettel,9,1:20.364,1:19.957,1:31.062
2022,4,sainz,10,1:19.305,1:18.990,
2022,4,russell,11,1:20.383,1:20.757,
2022,4,mick_schumacher,12,1:20.422,1:20.916,
2022,4,hamilton,13,1:20.470,1:21.138,
2022,4,zhou,14,1:19.730,1:21.434,
2022,4,stroll,15,1:20.342,1:28.119,
2022,4,tsunoda,16,1:20.474,,
2022,4,gasly,17,1:20.732,,
2022,4,latifi,18,1:21.971,,
2022,4,ocon,19,1:22.338,,
2022,4,albon,20,,,
2022,5,leclerc,1,1:29.474,1:29.130,1:28.796
2022,5,sainz,2,1:30.079,1:29.729,1:28.986
2022,5,max_verstappen,3,1:29.836,1:29.202,1:28.991
2022,5,perez,4,1:30.055,1:29.673,1:29.036
2022,5,bottas,5,1:30.845,1:29.751,1:29.475
2022,5,hamilton,6,1:30.388,1:29.797,1:29.625
2022,5,gasly,7,1:30.779,1:30.128,1:29.690
2022,5,norris,8,1:30.761,1:29.634,1:29.750
2022,5,tsunoda,9,1:30.485,1:30.031,1:29.932
2022,5,stroll,10,1:30.441,1:29.996,1:30.676
2022,5,alonso,11,1:30.407,1:30.160,
2022,5,russell,12,1:30.490,1:30.173,
2022,5,vettel,13,1:30.677,1:30.214,
2022,5,ricciardo,14,1:30.583,1:30.310,
2022,5,mick_schumacher,15,1:30.645,1:30.423,
2022,5,kevin_magnussen,16,1:30.975,,
2022,5,zhou,17,1:31.020,,
2022,5,albon,18,1:31.266,,
2022,5,latifi,19,1:31.325,,
2022,5,ocon,20,,,
2022,6,leclerc,1,1:19.861,1:19.969,1:18.750
2022,6,max_verstappen,2,1:20.091,1:19.219,1:19.073
2022,6,sainz,3,1:19.892,1:19.453,1:19.166
2022,6,russell,4,1:20.218,1:19.470,1:19.393
2022,6,perez,5,1:20.447,1:19.830,1:19.420
2022,6,hamilton,6,1:20.252,1:19.794,1:19.512
2022,6,bottas,7,1:20.355,1:20.053,1:19.608
2022,6,kevin_magnussen,8,1:20.227,1:19.810,1:19.682
2022,6,ricciardo,9,1:20.549,1:20.287,1:20.297
2022,6,mick_schumacher,10,1:20.683,1:20.436,1:20.368
2022,6,norris,11,1:20.838,1:20.471,
2022,6,ocon,12,1:20.880,1:20.638,
2022,6,tsunoda,13,1:20.707,1:20.639,
2022,6,gasly,14,1:20.719,1:20.861,
2022,6,zhou,15,1:20.476,1:21.094,
2022,6,vettel,16,1:20.954,,
2022,6,alonso,17,1:21.043,,
2022,6,stroll,18,1:21.418,,
2022,6,albon,19,1:21.645,,
2022,6,latifi,20,1:21.915,,
2022,7,leclerc,1,1:12.569,1:11.864,1:11.376
2022,7,sainz,2,1:12.616,1:12.074,1:11.601
2022,7,perez,3,1:13.004,1:11.954,1:11.629
2022,7,max_verstappen,4,1:12.993,1:12.117,1:11.666
2022,7,norris,5,1:12.927,1:12.266,1:11.849
2022,7,russell,6,1:12.787,1:12.617,1:12.112
2022,7,alonso,7,1:13.394,1:12.688,1:12.247
2022,7,hamilton,8,1:13.444,1:12.595,1:12.560
2022,7,vettel,9,1:13.313,1:12.613,1:12.732
2022,7,ocon,10,1:12.848,1:12.528,1:13.047
2022,7,tsunoda,11,1:13.110,1:12.797,
2022,7,bottas,12,1:13.541,1:12.909,
2022,7,kevin_magnussen,13,1:13.069,1:12.921,
